Country,Maker/Brand,Type,Group_Segment,Segment,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Region,Total
Japan,Toyota,Mini Cars,Passenger,Passenger A,23148,18812,21208,22158,25184,24076,17892,17653,15116,10354,Asia,195601
Japan,Toyota,Cars,Passenger,Passenger A,0,0,0,0,0,0,0,520,1106,425,Asia,2051
Japan,Toyota,Cars,Passenger,Passenger A,0,0,0,0,0,679,1670,1415,2020,1451,Asia,7235
Japan,Toyota,Cars,Passenger,Passenger A,2342,801,143,0,0,0,0,0,0,0,Asia,3286
Japan,Toyota,Cars,Passenger,Passenger B,286270,265426,197156,146129,137626,110647,71465,77266,68951,78927,Asia,1439863
Japan,Toyota,Cars,Passenger,Passenger B,6910,9995,3836,0,0,0,0,0,0,0,Asia,20741
Japan,Toyota,Cars,Passenger,Passenger B,0,0,0,0,7406,10132,4782,5464,4998,8210,Asia,40992
Japan,Toyota,Cars,Passenger,Passenger B,50873,44044,68276,52875,47960,43992,30560,31217,31455,15030,Asia,416282
Japan,Toyota,Cars,Passenger,Passenger B,0,0,22307,151868,160722,165373,118616,130106,111335,85288,Asia,945615
Japan,Toyota,Cars,Passenger,Passenger B,114441,92828,82948,108307,95928,93393,5813,0,0,0,Asia,593658
Japan,Toyota,Cars,Passenger,Passenger B,0,0,0,0,0,0,140340,123074,103149,97310,Asia,463873
Japan,Toyota,Cars,Passenger,Passenger B,3577,2291,1116,0,0,0,0,0,0,0,Asia,6984
Japan,Toyota,Cars,Passenger,Passenger B,5736,576,206,0,0,0,0,0,0,0,Asia,6518
Japan,Toyota,Cars,Passenger,Passenger C,31423,22854,19589,17690,12078,9020,6927,7881,27091,28647,Asia,183200
Japan,Toyota,Cars,Passenger,Passenger C,48433,65108,75245,71300,26759,0,0,0,0,0,Asia,286845
Japan,Toyota,Cars,Passenger,Passenger C,114903,115846,83202,80964,130241,349326,284380,241740,228777,268416,Asia,1897795
Japan,Toyota,Cars,Passenger,Passenger C,21478,15025,0,0,0,0,0,0,0,0,Asia,36503
Japan,Toyota,Cars,Passenger,Passenger C,370932,274811,434097,298241,211689,245120,145513,107222,76632,171020,Asia,2335277
Japan,Toyota,Cars,Passenger,Passenger D,9298,7754,11812,6829,6243,5218,3273,1031,0,0,Asia,51458
Japan,Toyota,Cars,Passenger,Passenger D,13253,10789,7017,83279,109941,109709,82148,82305,86667,104646,Asia,689754
Japan,Toyota,Cars,Passenger,Passenger D,12780,11147,14379,12466,11411,7903,5653,1411,0,0,Asia,77150
Japan,Toyota,Cars,Passenger,Passenger E,52123,51211,47169,38165,52252,33882,24022,21868,20168,96099,Asia,436959
Japan,Toyota,Cars,Passenger,Passenger E,2,715,2196,3097,2386,3242,477,6874,4004,3991,Asia,26984
Japan,Toyota,Cars,Passenger,Passenger E,10155,8774,7764,8055,3813,5585,0,0,0,0,Asia,44146
Japan,Toyota,Cars,Passenger,Passenger E,15207,8297,4609,1895,133,0,0,0,0,0,Asia,30141
Japan,Toyota,Cars,Passenger,Passenger E,170,164,94,9,434,350,208,98,164,129,Asia,1820
